filename	subjectGroup	age	sex	Native.language.s.	mySegmentationCond	lang	response	correct_segm	underlying	surface	n.changes	closest_match_just_match	closest.match.length	closest.match.pos	stream	n.attested.sylls	closest_match
399612_210615_081515_1c74fbeacec717de97e4fddd90ba73fdb7ec5c10.csv	3	26	male	English	segmented	L1	rabidu	0.75	ropitu	rabidu	3	ropi	4	1	abc	3	ropitu
399612_210615_081515_1c74fbeacec717de97e4fddd90ba73fdb7ec5c10.csv	3	26	male	English	segmented	L1	rabidu	0.75	ropido	rabidu	3	ropi	4	1	abc	3	ropido
399612_210615_081538_c4c09bc201c2f38d2ff716665bf907fdea6da50c.csv	3	23	female	Telugu	segmented	L1	daraabi paapiku tibuta papati	0.75	daropi	darabi	2	daropi	6	1	abc	3	daropi
399612_210615_081538_c4c09bc201c2f38d2ff716665bf907fdea6da50c.csv	3	23	female	Telugu	segmented	L1	daraabi paapiku tibuta papati	0.75	pabiku	papiku	1	pabiku	6	1	abc	3	pabiku
399612_210615_081538_c4c09bc201c2f38d2ff716665bf907fdea6da50c.csv	3	23	female	Telugu	segmented	L1	daraabi paapiku tibuta papati	0.75	tibudo	tibuta	2	tibudo	6	1	abc	3	tibudo
399612_210615_081538_c4c09bc201c2f38d2ff716665bf907fdea6da50c.csv	3	23	female	Telugu	segmented	L1	daraabi paapiku tibuta papati	0.75	pati	pati	0	pa	2	1	abc	2	pati
399612_210615_081541_0febc44b0f86f76dc0af7e862d0a17a71b0ed39f.csv	3	21	male	Telugu	segmented	L1	gallabi,taabitu,teebuta	1	golabi	galabi	1	gola	4	1	abc	3	golabi
399612_210615_081541_0febc44b0f86f76dc0af7e862d0a17a71b0ed39f.csv	3	21	male	Telugu	segmented	L1	gallabi,taabitu,teebuta	1	dabitu	tabitu	1	da	2	1	abc	3	dabitu
399612_210615_081541_0febc44b0f86f76dc0af7e862d0a17a71b0ed39f.csv	3	21	male	Telugu	segmented	L1	gallabi,taabitu,teebuta	1	tibudo	tibuta	2	tibudo	6	1	abc	3	tibudo
399612_210615_081805_daaef8769b611ebb929eb369b2d48d6a07b888ca.csv	3	22	male	Hindi	segmented	L1	baabiku,teebuta,nalrabi,galatu	1	pabiku	babiku	1	pabiku	6	1	abc	3	pabiku
399612_210615_081805_daaef8769b611ebb929eb369b2d48d6a07b888ca.csv	3	22	male	Hindi	segmented	L1	baabiku,teebuta,nalrabi,galatu	1	tibudo	tibuta	2	tibudo	6	1	abc	3	tibudo
399612_210615_081805_daaef8769b611ebb929eb369b2d48d6a07b888ca.csv	3	22	male	Hindi	segmented	L1	baabiku,teebuta,nalrabi,galatu	1	golatu	galatu	1	golatu	6	1	abc	3	golatu
399612_210615_081930_eef6a56416d48044df8bdaf339d531ad33151a42.csv	3	43	male	english	segmented	L1	galatou	1	golatu	galatu	1	golatu	6	1	abc	3	golatu
399612_210615_082122_a7c69c67bc40255b8b01853edbaa115c0e124d96.csv	3	19	male	english	segmented	L1	people	1	piopli	piopli	0	pi	2	1	abc	1	piXXXX
399612_210615_082156_3add9d63f77712391eda96998f69b4eb04279924.csv	3	36	male	english	segmented	L1	di tu da tadi di ti tu ta ta ti di di tu du da da	1	tu	tu	0	tu	2	1	abc	1	tu
399612_210615_082156_3add9d63f77712391eda96998f69b4eb04279924.csv	3	36	male	english	segmented	L1	di tu da tadi di ti tu ta ta ti di di tu du da da	1	da	da	0	da	2	1	abc	1	da
399612_210615_082156_3add9d63f77712391eda96998f69b4eb04279924.csv	3	36	male	english	segmented	L1	di tu da tadi di ti tu ta ta ti di di tu du da da	1	dati	tadi	2	da	2	1	abc	2	dati
399612_210615_082156_3add9d63f77712391eda96998f69b4eb04279924.csv	3	36	male	english	segmented	L1	di tu da tadi di ti tu ta ta ti di di tu du da da	1	ti	ti	0	ti	2	1	abc	1	ti
399612_200413_123709_c436c6d9a080c73f840f8f336bb096239d4e6cec.csv	1	59	female	english	continuous	L1	da latte du tutu	0	da	da	0	da	2	1	abc	1	da
399612_200413_123709_c436c6d9a080c73f840f8f336bb096239d4e6cec.csv	1	59	female	english	continuous	L1	da latte du tutu	0	lati	lati	0	la	2	1	bca	2	lati
399612_200413_123709_c436c6d9a080c73f840f8f336bb096239d4e6cec.csv	1	59	female	english	continuous	L1	da latte du tutu	0	tu	du	1	tu	2	1	abc	1	tu
399612_200413_123709_c436c6d9a080c73f840f8f336bb096239d4e6cec.csv	1	59	female	english	continuous	L1	da latte du tutu	0	dotu	tutu	2	do	2	1	abc	2	dotu
399612_200413_123709_c436c6d9a080c73f840f8f336bb096239d4e6cec.csv	1	59	female	english	continuous	L1	da latte du tutu	0	tudo	tutu	2	tu	2	1	abc	2	tudo
399612_200413_123723_2de5c88ad30e9df5886954512e15bd0275d5f55a.csv	1	26	male	Greek	continuous	L1	wapi papi gooti goota	1	vapi	vapi	0	pi	2	2	abc	1	XXpi
399612_200413_123723_2de5c88ad30e9df5886954512e15bd0275d5f55a.csv	1	26	male	Greek	continuous	L1	wapi papi gooti goota	1	pabi	papi	1	pabi	4	1	abc	2	pabi
399612_200413_123723_2de5c88ad30e9df5886954512e15bd0275d5f55a.csv	1	26	male	Greek	continuous	L1	wapi papi gooti goota	1	kuti	guti	1	kuti	4	1	cab	2	kuti
399612_200413_123723_2de5c88ad30e9df5886954512e15bd0275d5f55a.csv	1	26	male	Greek	continuous	L1	wapi papi gooti goota	1	kuda	guta	2	kuda	4	1	cab	2	kuda
399612_200413_123743_b393b00ff16a1b7d29de791b8aeb0c38ffe1d132.csv	2	39	male	English	continuous	L2	pibala,bugiti,rubala,tingala,rubuti	1	pipala	pibala	1	pi	2	1	abc	3	pipala
399612_200413_123743_b393b00ff16a1b7d29de791b8aeb0c38ffe1d132.csv	2	39	male	English	continuous	L2	pibala,bugiti,rubala,tingala,rubuti	1	bugiti	bugiti	0	bu	2	1	abc	2	buXXti
399612_200413_123743_b393b00ff16a1b7d29de791b8aeb0c38ffe1d132.csv	2	39	male	English	continuous	L2	pibala,bugiti,rubala,tingala,rubuti	1	ropala	rubala	2	ro	2	1	abc	3	ropala
399612_200413_123743_b393b00ff16a1b7d29de791b8aeb0c38ffe1d132.csv	2	39	male	English	continuous	L2	pibala,bugiti,rubala,tingala,rubuti	1	robuti	rubuti	1	robu	4	1	cab	3	robuti
399612_200413_123755_dd63d7eea74056684a788b2ade2dffffaa3694ff.csv	1	71	male	English	continuous	L1	papi rapi kal tup tapi gil	0.5	pabi	papi	1	pabi	4	1	abc	2	pabi
399612_200413_123755_dd63d7eea74056684a788b2ade2dffffaa3694ff.csv	1	71	male	English	continuous	L1	papi rapi kal tup tapi gil	0.5	ropi	rapi	1	ropi	4	1	abc	2	ropi
